flight,chain_id,lat,long,alt,mph,dt_seconds,heading_sin,heading_cos,vertical_speed,horizontal_speed,delta_lat,delta_lon,delta_alt
AAL1009,0,34.5542,-117.832,36525,523,600.0,-0.9768945308341427,-0.21372195869011748,-7.583333333333333,577.2675071760098,-0.1891999999999996,-1.024000000000001,-4550
AAL1009,13,34.5377,-117.172,34600,460,600.0,-0.9929171324703174,-0.11880895608884909,0.08333333333333333,831.7915782429294,-0.15729999999999933,-1.5,50
AAL1009,39,34.5535,-117.508,28325,509,600.0,-0.9863739395256763,-0.16451884823508062,-2.2916666666666665,713.4759374254269,-0.18260000000000076,-1.2780000000000058,-1375
AAL1009,44,34.8299,-118.769,34025,516,600.0,0.9452446522721033,-0.32636260102988296,5.083333333333333,828.5435100078365,-0.4136000000000024,1.4230000000000018,3050
AAL1029,7,34.9913,-118.583,37675,500,600.0,0.9326917047846356,-0.3606746232075806,0.08333333333333333,828.482884261238,-0.45600000000000307,1.4059999999999917,50
AAL115,0,34.6139,-117.215,38375,460,600.0,-0.9999084188991659,-0.013533433214458337,0.20833333333333334,821.7234759824382,-0.02580000000000382,-1.4959999999999951,125
AAL1187,15,34.6595,-117.18,34825,460,600.0,-0.9748008254569394,0.22307700618501577,-32.875,678.7886745271827,0.22099999999999653,-1.208999999999989,-19725
AAL1483,25,34.6511,-117.429,32650,506,600.0,-0.9827377187152052,-0.1850042599899642,-13.625,649.8241716074074,-0.1856999999999971,-1.1610000000000014,-8175
AAL1981,9,34.6497,-117.437,35600,460,600.0,-0.9827441114958237,-0.18497029848136132,-13.541666666666666,717.72523911381,-0.20570000000000022,-1.2819999999999965,-8125
AAL1981,16,34.6471,-117.311,33500,504,600.0,-0.9863260513349161,-0.1648057051745249,-10.833333333333334,747.9292220493503,-0.1921000000000035,-1.340999999999994,-6500
AAL2059,10,34.4358,-117.411,32825,539,600.0,-0.8923779336953302,0.45128884702998445,-0.041666666666666664,737.3785394573623,0.4928999999999988,-1.203000000000003,-25
AAL2059,29,34.5507,-117.697,27875,543,600.0,-0.9034230709020309,0.42875022444535704,3.5416666666666665,639.1425053679045,0.40619999999999834,-1.0559999999999974,2125
AAL2516,15,35.064,-118.665,31775,532,600.0,0.8656071235545892,-0.5007237837885775,9.958333333333334,879.5654898622532,-0.6679999999999993,1.3830000000000098,5975
AAL2516,37,34.5102,-117.502,29250,460,600.0,-0.8600435963945774,0.5102205526051271,-13.083333333333334,719.472584445363,0.5450000000000017,-1.1330000000000098,-7850
AAL2555,14,34.5456,-117.662,36875,532,600.0,-0.9088132943431171,0.4172030632979711,0.20833333333333334,625.9105113221426,0.38700000000000045,-1.039999999999992,125
AAL684,3,34.3835,-117.794,34875,520,600.0,-0.8600628228772632,0.510188142457656,-0.08333333333333333,779.9217900902637,0.5902999999999992,-1.2270000000000039,-50
AAL922,2,34.8607,-118.705,20475,488,600.0,0.7220435846804675,-0.6918475712335634,22.208333333333332,831.2204395754134,-0.8668000000000049,1.0849999999999937,13325
AAY98,7,34.5805,-117.686,29000,502,600.0,-0.9769752625372007,-0.2133526104606356,-0.16666666666666666,647.65545388762,-0.21249999999999858,-1.1489999999999867,-100
AAY98,8,34.5401,-117.343,26450,460,600.0,-0.9907158690328326,-0.13594876552039445,-3.3333333333333335,636.7230697523421,-0.13510000000000133,-1.1460000000000008,-2000
AMF1902,24,34.6127,-118.064,6950,460,600.0,0.4380658542631179,0.8989428832404898,-3.9583333333333335,90.1152783884136,0.12140000000000128,0.07199999999998852,-2375
ARRIS02,0,34.6471,-118.149,4400,460,600.0,0.9450323639376472,0.32697680515660793,-1.125,40.64513440620011,0.019899999999999807,0.07000000000000739,-675
